t,T_sec,H_sec,P_gaz,Flame,V_Fl_1,V_Fl_2,V_Fl_3,V_H2,V_But,Etat
0.00,35.000,90.000,0,0,0,0,0,0,0,0
10.00,35.057,90.000,0,0,0,0,0,0,0,2
20.00,35.113,89.999,0,0,0,0,0,0,0,2
30.00,35.170,89.998,0,0,0,0,0,0,0,2
40.00,35.226,89.996,0,0,0,0,0,0,0,2
50.00,35.282,89.994,0,0,0,0,0,0,0,2
60.00,35.337,89.992,0,0,0,0,0,0,0,2
70.00,35.393,89.989,0,0,0,0,0,0,0,2
80.00,35.448,89.986,0,0,0,0,0,0,0,2
90.00,35.504,89.982,0,0,0,0,0,0,0,2
100.00,35.559,89.978,0,0,0,0,0,0,0,2
110.00,35.614,89.973,0,0,0,0,0,0,0,2
120.00,35.669,89.968,0,0,0,0,0,0,0,2
130.00,35.723,89.962,0,0,0,0,0,0,0,2
140.00,35.778,89.956,0,0,0,0,0,0,0,2
150.00,35.832,89.950,0,0,0,0,0,0,0,2
160.00,35.887,89.943,0,0,0,0,0,0,0,2
170.00,35.941,89.936,0,0,0,0,0,0,0,2
180.00,35.995,89.928,0,0,0,0,0,0,0,2
190.00,36.048,89.920,0,0,0,0,0,0,0,2
200.00,36.102,89.911,0,0,0,0,0,0,0,2
210.00,36.155,89.902,0,0,0,0,0,0,0,2
220.00,36.209,89.893,0,0,0,0,0,0,0,2
230.00,36.262,89.883,0,0,0,0,0,0,0,2
240.00,36.315,89.873,0,0,0,0,0,0,0,2
250.00,36.368,89.862,0,0,0,0,0,0,0,2
260.00,36.420,89.851,0,0,0,0,0,0,0,2
270.00,36.473,89.839,0,0,0,0,0,0,0,2
280.00,36.525,89.828,0,0,0,0,0,0,0,2
290.00,36.578,89.815,0,0,0,0,0,0,0,2
300.00,36.630,89.802,0,0,0,0,0,0,0,2
310.00,36.682,89.789,0,0,0,0,0,0,0,2
320.00,36.734,89.776,0,0,0,0,0,0,0,2
330.00,36.785,89.762,0,0,0,0,0,0,0,2
340.00,36.837,89.747,0,0,0,0,0,0,0,2
350.00,36.888,89.732,0,0,0,0,0,0,0,2
360.00,36.939,89.717,0,0,0,0,0,0,0,2
370.00,36.990,89.702,0,0,0,0,0,0,0,2
380.00,37.041,89.686,0,0,0,0,0,0,0,2
390.00,37.092,89.669,0,0,0,0,0,0,0,2
400.00,37.143,89.652,0,0,0,0,0,0,0,2
410.00,37.193,89.635,0,0,0,0,0,0,0,2
420.00,37.244,89.618,0,0,0,0,0,0,0,2
430.00,37.294,89.600,0,0,0,0,0,0,0,2
440.00,37.344,89.581,0,0,0,0,0,0,0,2
450.00,37.394,89.562,0,0,0,0,0,0,0,2
460.00,37.444,89.543,0,0,0,0,0,0,0,2
470.00,37.493,89.524,0,0,0,0,0,0,0,2
480.00,37.543,89.504,0,0,0,0,0,0,0,2
490.00,37.592,89.483,0,0,0,0,0,0,0,2
500.00,37.642,89.463,0,0,0,0,0,0,0,2
510.00,37.691,89.442,0,0,0,0,0,0,0,2
520.00,37.740,89.420,0,0,0,0,0,0,0,2
530.00,37.789,89.398,0,0,0,0,0,0,0,2
540.00,37.837,89.376,0,0,0,0,0,0,0,2
550.00,37.886,89.353,0,0,0,0,0,0,0,2
560.00,37.934,89.330,0,0,0,0,0,0,0,2
570.00,37.982,89.307,0,0,0,0,0,0,0,2
580.00,38.031,89.283,0,0,0,0,0,0,0,2
590.00,38.079,89.259,0,0,0,0,0,0,0,2
600.00,38.126,89.235,0,0,0,0,0,0,0,2
610.00,38.174,89.210,0,0,0,0,0,0,0,2
620.00,38.222,89.184,0,0,0,0,0,0,0,2
630.00,38.269,89.159,0,0,0,0,0,0,0,2
640.00,38.317,89.133,0,0,0,0,0,0,0,2
650.00,38.364,89.107,0,0,0,0,0,0,0,2
660.00,38.411,89.080,0,0,0,0,0,0,0,2
670.00,38.458,89.053,0,0,0,0,0,0,0,2
680.00,38.505,89.025,0,0,0,0,0,0,0,2
690.00,38.551,88.998,0,0,0,0,0,0,0,2
700.00,38.598,88.970,0,0,0,0,0,0,0,2
710.00,38.644,88.941,0,0,0,0,0,0,0,2
720.00,38.690,88.912,0,0,0,0,0,0,0,2
730.00,38.737,88.883,0,0,0,0,0,0,0,2
740.00,38.783,88.854,0,0,0,0,0,0,0,2
750.00,38.828,88.824,0,0,0,0,0,0,0,2
760.00,38.874,88.794,0,0,0,0,0,0,0,2
770.00,38.920,88.763,0,0,0,0,0,0,0,2
780.00,38.965,88.732,0,0,0,0,0,0,0,2
790.00,39.011,88.701,0,0,0,0,0,0,0,2
800.00,39.056,88.669,0,0,0,0,0,0,0,2
810.00,39.101,88.637,0,0,0,0,0,0,0,2
820.00,39.146,88.605,0,0,0,0,0,0,0,2
830.00,39.191,88.573,0,0,0,0,0,0,0,2
840.00,39.236,88.540,0,0,0,0,0,0,0,2
850.00,39.280,88.506,0,0,0,0,0,0,0,2
