t,T_sec,H_sec,P_gaz,Flame,V_Fl_1,V_Fl_2,V_Fl_3,V_H2,V_But,Etat
0.00,25.000,90.000,0,0,0,0,0,0,0,0
10.00,25.000,90.000,0,0,0,0,0,0,0,3
20.00,25.000,90.000,0,0,0,0,0,0,0,3
30.00,25.000,90.000,0,0,0,0,0,0,0,3
40.00,25.000,90.000,0,0,0,0,0,0,0,3
50.00,25.000,90.000,0,0,0,0,0,0,0,3
60.00,25.000,90.000,0,0,0,0,0,0,0,3
70.00,25.000,90.000,0,0,0,0,0,0,0,3
80.00,25.000,90.000,0,0,0,0,0,0,0,3
90.00,25.000,90.000,0,0,0,0,0,0,0,3
100.00,25.000,90.000,0,0,0,0,0,0,0,3
110.00,25.000,90.000,0,0,0,0,0,0,0,3
120.00,25.000,90.000,0,0,0,0,0,0,0,3
130.00,25.000,90.000,0,0,0,0,0,0,0,3
130.05,25.002,90.000,1650,0,0,0,1,1,0,3
130.10,25.005,90.000,1650,1,0,0,1,1,0,3
140.00,25.457,90.000,1650,1,0,0,1,1,0,3
150.00,25.914,90.000,1650,1,0,0,1,1,0,3
160.00,26.368,90.000,1650,1,0,0,1,1,0,3
170.00,26.822,90.000,1650,1,0,0,1,1,0,3
180.00,27.274,90.000,1650,1,0,0,1,1,0,3
190.00,27.725,90.000,1650,1,0,0,1,1,0,3
200.00,28.175,90.000,1650,1,0,0,1,1,0,3
210.00,28.623,90.000,1650,1,0,0,1,1,0,3
220.00,29.071,90.000,1650,1,0,0,1,1,0,3
230.00,29.516,90.000,1650,1,0,0,1,1,0,3
240.00,29.961,90.000,1650,1,0,0,1,1,0,3
250.00,30.405,90.000,1650,1,0,0,1,1,0,3
260.00,30.847,90.000,1650,1,0,0,1,1,0,3
270.00,31.288,90.000,1650,1,0,0,1,1,0,3
280.00,31.727,90.000,1650,1,0,0,1,1,0,3
290.00,32.166,90.000,1650,1,0,0,1,1,0,3
300.00,32.603,90.000,1650,1,0,0,1,1,0,3
310.00,33.039,90.000,1650,1,0,0,1,1,0,3
320.00,33.473,90.000,1650,1,0,0,1,1,0,3
330.00,33.907,90.000,1650,1,0,0,1,1,0,3
340.00,34.339,90.000,1650,1,0,0,1,1,0,3
350.00,34.770,90.000,1650,1,0,0,1,1,0,3
360.00,35.200,90.000,1650,1,0,0,1,1,0,3
370.00,35.628,89.996,1650,1,0,0,1,1,0,3
380.00,36.056,89.990,1650,1,0,0,1,1,0,3
390.00,36.482,89.980,1650,1,0,0,1,1,0,3
400.00,36.907,89.966,1650,1,0,0,1,1,0,3
410.00,37.331,89.949,1650,1,0,0,1,1,0,3
420.00,37.753,89.929,1650,1,0,0,1,1,0,3
430.00,38.175,89.905,1650,1,0,0,1,1,0,3
440.00,38.595,89.878,1650,1,0,0,1,1,0,3
450.00,39.014,89.848,1650,1,0,0,1,1,0,3
460.00,39.431,89.814,1650,1,0,0,1,1,0,3
470.00,39.848,89.777,1650,1,0,0,1,1,0,3
480.00,40.263,89.737,1650,1,0,0,1,1,0,3
490.00,40.678,89.694,1650,1,0,0,1,1,0,3
500.00,41.091,89.647,1650,1,0,0,1,1,0,3
510.00,41.503,89.597,1650,1,0,0,1,1,0,3
520.00,41.913,89.544,1650,1,0,0,1,1,0,3
530.00,42.323,89.488,1650,1,0,0,1,1,0,3
540.00,42.731,89.428,1650,1,0,0,1,1,0,3
