t,T_sec,H_sec,P_gaz,Flame,V_Fl_1,V_Fl_2,V_Fl_3,V_H2,V_But,Etat
0.00,25.000,90.000,0,0,0,0,0,0,0,0
10.00,25.000,90.000,0,0,0,0,0,0,0,3
20.00,25.000,90.000,0,0,0,0,0,0,0,3
30.00,25.000,90.000,0,0,0,0,0,0,0,3
40.00,25.000,90.000,0,0,0,0,0,0,0,3
50.00,25.000,90.000,0,0,0,0,0,0,0,3
60.00,25.000,90.000,0,0,0,0,0,0,0,3
70.00,25.000,90.000,0,0,0,0,0,0,0,3
80.00,25.000,90.000,0,0,0,0,0,0,0,3
90.00,25.000,90.000,0,0,0,0,0,0,0,3
100.00,25.000,90.000,0,0,0,0,0,0,0,3
110.00,25.000,90.000,0,0,0,0,0,0,0,3
120.00,25.000,90.000,0,0,0,0,0,0,0,3
130.00,25.000,90.000,0,0,0,0,0,0,0,3
130.05,25.007,90.000,5000,0,1,1,1,1,0,3
134.00,25.548,90.000,0,0,0,0,0,0,0,3
140.00,25.547,90.000,0,0,0,0,0,0,0,3
150.00,25.546,90.000,0,0,0,0,0,0,0,3
160.00,25.544,90.000,0,0,0,0,0,0,0,3
170.00,25.542,90.000,0,0,0,0,0,0,0,3
180.00,25.541,90.000,0,0,0,0,0,0,0,3
190.00,25.539,90.000,0,0,0,0,0,0,0,3
200.00,25.538,90.000,0,0,0,0,0,0,0,3
210.00,25.536,90.000,0,0,0,0,0,0,0,3
220.00,25.535,90.000,0,0,0,0,0,0,0,3
230.00,25.533,90.000,0,0,0,0,0,0,0,3
240.00,25.532,90.000,0,0,0,0,0,0,0,3
250.00,25.530,90.000,0,0,0,0,0,0,0,3
254.05,25.537,90.000,5000,0,1,1,1,1,0,3
258.00,26.077,90.000,0,0,0,0,0,0,0,3
260.00,26.076,90.000,0,0,0,0,0,0,0,3
270.00,26.073,90.000,0,0,0,0,0,0,0,3
280.00,26.070,90.000,0,0,0,0,0,0,0,3
290.00,26.067,90.000,0,0,0,0,0,0,0,3
300.00,26.064,90.000,0,0,0,0,0,0,0,3
310.00,26.061,90.000,0,0,0,0,0,0,0,3
320.00,26.058,90.000,0,0,0,0,0,0,0,3
330.00,26.055,90.000,0,0,0,0,0,0,0,3
340.00,26.052,90.000,0,0,0,0,0,0,0,3
350.00,26.049,90.000,0,0,0,0,0,0,0,3
360.00,26.046,90.000,0,0,0,0,0,0,0,3
370.00,26.043,90.000,0,0,0,0,0,0,0,3
378.05,26.048,90.000,5000,0,1,1,1,1,0,3
380.00,26.318,90.000,5000,0,1,1,1,1,0,3
382.00,26.588,90.000,0,0,0,0,0,0,0,8
390.00,26.584,90.000,0,0,0,0,0,0,0,8
400.00,26.580,90.000,0,0,0,0,0,0,0,8
410.00,26.575,90.000,0,0,0,0,0,0,0,8
420.00,26.571,90.000,0,0,0,0,0,0,0,8
430.00,26.566,90.000,0,0,0,0,0,0,0,8
440.00,26.562,90.000,0,0,0,0,0,0,0,8
450.00,26.558,90.000,0,0,0,0,0,0,0,8
460.00,26.553,90.000,0,0,0,0,0,0,0,8
470.00,26.549,90.000,0,0,0,0,0,0,0,8
480.00,26.544,90.000,0,0,0,0,0,0,0,8
490.00,26.540,90.000,0,0,0,0,0,0,0,8
500.00,26.536,90.000,0,0,0,0,0,0,0,8
510.00,26.531,90.000,0,0,0,0,0,0,0,8
